fighter,dob
Rafael Dos Anjos,"Oct 26, 1984"
Rafael Estevam,"Aug 10, 1996"
Rafael Fiziev,"Mar 05, 1993"
Rafael Natal,"Dec 25, 1982"
Rafael Tobias,"Mar 20, 2003"
Rafaello Oliveira,"Jan 26, 1982"
Rainy Martinez,--
Ramazan Emeev,"May 23, 1987"
Ramazan Temirov,"Jan 31, 1997"
Rameau Thierry Sokoudjou,"Apr 18, 1984"
Ramiro Hernandez,"Jul 22, 1986"
Ramiz Brahimaj,"Nov 17, 1992"
Ramon Taveras,"Jan 09, 1994"
Ramona Pascual,"Sep 23, 1988"
Ramsey Nijem,"Apr 01, 1988"
Randa Markos,"Aug 10, 1985"
Randy Brown,"Jul 08, 1990"
Randy Costa,"Jul 06, 1994"
Randy Couture,"Jun 22, 1963"
Rani Yahya,"Sep 12, 1984"
Raoni Barcelos,"May 01, 1987"
Raphael Assuncao,"Jul 19, 1982"
Raphael Pessoa,"Mar 09, 1989"
Raquel Pennington,"Sep 05, 1988"
Rashad Coulter,"Nov 27, 1981"
Rashad Evans,"Sep 25, 1979"
Rashid Magomedov,"Nov 29, 1984"
Raul Rosas Jr.,"Oct 08, 2004"
Raulian Paiva,"Oct 17, 1995"
Ravena Oliveira,"Feb 20, 1997"
Ray Borg,"Aug 04, 1993"
Ray Rodriguez,"Dec 10, 1987"
Ray Wizard,--
Rayanne Amanda,"Aug 26, 1993"
Rayanne dos Santos,"Jun 08, 1995"
Razak Al-Hassan,"May 14, 1982"
Reese Andy,"Mar 31, 1973"
Regina Tarin,"Oct 19, 2004"
Reginaldo Vieira,"Nov 26, 1982"
Rei Tsuruya,"Jun 22, 2002"
Reinier de Ridder,"Sep 07, 1990"
Remco Pardoel,"May 23, 1969"
Renan Barao,"Jan 31, 1987"
Renato Moicano,"May 21, 1989"
Renato Sobral,"Sep 07, 1975"
Renato Verissimo,"Aug 03, 1973"
Renee Forte,"Mar 27, 1987"
Renzo Gracie,"Mar 11, 1967"
Reuben Duran,"Jul 02, 1983"
Rex Holman,--
Reza Madadi,"Jun 20, 1978"
Reza Nasri,--
Rhys McKee,"Sep 10, 1995"
Ricardo Abreu,"Apr 27, 1984"
Ricardo Almeida,"Nov 29, 1976"
Ricardo Funch,"Aug 14, 1980"
Ricardo Lamas,"May 21, 1982"
Ricardo Ramos,"Aug 01, 1995"
Ricardo Romero,"Apr 15, 1978"
Ricco Rodriguez,"Aug 19, 1977"
Rich Attonito,"Jun 16, 1977"
Rich Clementi,"Mar 31, 1976"
Rich Franklin,"Oct 05, 1974"
Richard Crunkilton,"Nov 25, 1979"
Richard Walsh,"Dec 01, 1988"
Richardson Moreira,"Mar 31, 1984"
Richie Hightower,"Nov 26, 1974"
Richie Smullen,"Aug 17, 1991"
Richie Vaculik,"Jun 19, 1983"
Rick Davis,--
Rick Glenn,"Oct 09, 1977"
Rick Story,"Aug 28, 1984"
Ricky Glenn,"Apr 12, 1989"
Ricky Rainey,"Jun 29, 1983"
Ricky Simon,"Aug 31, 1992"
Ricky Turcios,"Jun 05, 1993"
Riki Fukuda,"Jan 06, 1981"
Rin Nakai,"Oct 22, 1986"
Rinat Fakhretdinov,"Sep 28, 1991"
Rinya Nakamura,"Mar 23, 1995"
Rizvan Kuniev,"Mar 10, 1992"
Roan Carneiro,"Jun 02, 1978"
Rob Broughton,"Mar 03, 1983"
Rob Emerson,"Jul 30, 1981"
Rob Font,"Jun 25, 1987"
Rob Kimmons,"Jan 30, 1981"
Rob MacDonald,"Sep 05, 1978"
Rob Wilkinson,"Feb 22, 1992"
Rob Yundt,"May 05, 1980"
Robbie Lawler,"Mar 20, 1982"
Robelis Despaigne,"Sep 09, 1988"
Robert Bryczek,"Jul 04, 1990"
Robert Drysdale,"Oct 05, 1981"
Robert Lucarelli,--
Robert McDaniel,"May 03, 1983"
Robert Peralta,"Mar 14, 1986"
Robert Ruchala,"May 15, 1998"
Robert Sanchez,"Mar 05, 1986"
Robert Valentin,"Mar 31, 1995"
Robert Whiteford,"Apr 12, 1983"
Robert Whittaker,"Dec 20, 1990"
Roberto Romero,"Jan 30, 2000"
Roberto Traven,"Sep 16, 1968"
Rocky Lee,"Apr 08, 1987"
Rodney Wallace,"Nov 21, 1981"
Rodolfo Bellato,"Feb 05, 1996"
Rodolfo Rubio Perez,"Jan 29, 1987"
Rodolfo Vieira,"Sep 25, 1989"
Rodrigo Damm,"Feb 03, 1980"
Rodrigo Nascimento,"Nov 26, 1992"
Rodrigo Ruas,"Oct 06, 1977"
Rodrigo Sezinando,"Dec 11, 1997"
Rodrigo de Lima,"Mar 12, 1991"
Roger Bowling,"Dec 05, 1982"
Roger Gracie,"Sep 26, 1981"
Roger Hollett,"Oct 08, 1978"
Roger Huerta,"May 20, 1983"
Roger Narvaez,"Sep 09, 1983"
Roger Zapata,"May 09, 1986"
Rogerio Bontorin,"Apr 25, 1992"
Rogerio Nogueira,"Jun 02, 1976"
Roland Delorme,"Dec 18, 1983"
Roland Payne,--
Rolando Bedoya,"Jan 13, 1997"
Rolando Delgado,"Nov 22, 1981"
Rolando Dy,"Aug 11, 1990"
Roldan Sangcha'an,"Dec 04, 1990"
Rolles Gracie,"Jul 14, 1978"
Roman Bogatov,"Dec 15, 1990"
Roman Dolidze,"Jul 15, 1988"
Roman Kopylov,"May 04, 1992"
Roman Mitichyan,"Sep 04, 1978"
Roman Salazar,"Feb 21, 1988"
Romie Aram,"Dec 02, 1977"
Ron Faircloth,"Aug 16, 1979"
Ron Stallings,"Jan 25, 1983"
Ron Waterman,"Nov 23, 1965"
Ron van Clief,"Jan 25, 1943"
Ronald Jhun,"Sep 21, 1970"
Ronaldo Rodriguez,"May 07, 1999"
Ronda Rousey,"Feb 01, 1987"
Rong Zhu,"Jan 16, 1996"
Rongzhu,
Ronnie Lawrence,"Jun 13, 1992"
Ronny Markes,"Apr 21, 1988"
Rony Jason,"Mar 21, 1984"
Ronys Torres,"Aug 13, 1975"
Roosevelt Roberts,"Feb 11, 1994"
Roque Martinez,"Mar 04, 1986"
Rory MacDonald,"Jul 22, 1989"
Rory Markham,"Mar 25, 1982"
Rory Singer,"May 28, 1976"
Rose Namajunas,"Jun 29, 1992"
Rosi Sexton,"Jul 16, 1977"
Ross Pearson,"Sep 26, 1984"
Ross Pointon,"Feb 18, 1980"
Rostem Akman,"Dec 19, 1991"
Rousimar Palhares,"Feb 26, 1980"
Roxanne Modafferi,"Sep 24, 1982"
Roy Nelson,"Jun 20, 1976"
Royce Alger,"Mar 06, 1965"
Royce Gracie,"Dec 12, 1966"
Royston Wee,"Nov 15, 1986"
Ruan Potts,"Feb 23, 1978"
Rudyard Moncayo,"May 17, 1973"
Ruslan Magomedov,"Nov 26, 1986"
Russell Doane,"Aug 13, 1986"
Rustam Khabilov,"Nov 04, 1986"
Ryan Bader,"Jun 07, 1983"
Ryan Benoit,"Aug 25, 1989"
Ryan Couture,"Aug 27, 1982"
Ryan Gandra,"May 08, 1995"
Ryan Hall,"Feb 22, 1985"
Ryan Janes,"Aug 22, 1981"
Ryan Jensen,"Sep 20, 1977"
Ryan Jimmo,"Nov 27, 1981"
Ryan LaFlare,"Oct 01, 1983"
Ryan Loder,"Jun 05, 1991"
Ryan MacDonald,"Mar 18, 1993"
Ryan Madigan,--
Ryan McGillivray,"Sep 27, 1986"
Ryan Parker,--
Ryan Roberts,"Jul 16, 1978"
Ryan Spann,"Aug 24, 1991"
Ryan Thomas,"Nov 05, 1984"
Ryo Chonan,"Oct 08, 1976"
Sabah Homasi,"Oct 19, 1988"
Sabina Mazo,"Mar 25, 1997"
Saeed Hosseini,--
Sage Northcutt,"Mar 01, 1996"
Sai Wang,"Jan 14, 1986"
Said Nurmagomedov,"Apr 05, 1992"
Saidyokub Kakhramonov,"Nov 14, 1995"
Saimon Oliveira,"Apr 21, 1991"
Sako Chivitchian,"Mar 11, 1984"
Salim Touahri,"Sep 28, 1989"
Sam Adkins,"Apr 26, 1965"
Sam Alvey,"May 06, 1986"
Sam Fulton,--
Sam Hoger,"Jun 28, 1980"
Sam Hughes,"Jun 28, 1992"
Sam Patterson,"Apr 30, 1996"
Sam Sicilia,"Feb 01, 1986"
Sam Stout,"Apr 23, 1984"
Sammy Morgan,"Sep 28, 1981"
Samy Schiavo,"Dec 24, 1975"
Sanae Kikuta,"Sep 10, 1971"
Sangwook Kim,"Oct 17, 1993"
Santiago Luna,"Aug 06, 2004"
Santiago Ponzinibbio,"Sep 26, 1986"
Saparbeg Safarov,"Oct 14, 1986"
Sara McMann,"Sep 24, 1980"
Sarah Alpar,"Jun 01, 1991"
Sarah Frota,"Apr 14, 1987"
Sarah Kaufman,"Sep 20, 1985"
Sarah Moras,"Apr 30, 1988"
Sasha Palatnikov,"Mar 15, 1989"
Satoshi Honma,"May 19, 1968"
Saygid Izagakhmaev,"Sep 03, 1994"
Scott Adams,--
Scott Askham,"May 20, 1988"
Scott Baker,--
Scott Bessac,"Oct 05, 1965"
Scott Ferrozzo,"Apr 26, 1965"
Scott Fiedler,--
Scott Holtzman,"Sep 30, 1983"
Scott Jorgensen,"Sep 17, 1982"
Scott Junk,"Dec 17, 1978"
Scott Morris,--
Scott Smith,"May 21, 1979"
Sean Alvarez,"Jul 14, 1971"
Sean Brady,"Nov 23, 1992"
Sean Daugherty,"Dec 04, 1975"
Sean Gannon,--
Sean McCorkle,"Jul 17, 1976"
Sean O'Connell,"Sep 02, 1983"
Sean O'Malley,"Oct 24, 1994"
Sean Pierson,"Mar 10, 1976"
Sean Salmon,"Sep 11, 1977"
Sean Sharaf,"Jul 11, 1993"
Sean Sherk,"Aug 05, 1973"
Sean Soriano,"Oct 06, 1989"
Sean Spencer,"Jun 25, 1987"
Sean Strickland,"Feb 27, 1991"
Sean Woodson,"Jun 07, 1992"
Sebastian Szalay,"Feb 03, 1994"
Sedriques Dumas,"Aug 06, 1995"
Semmy Schilt,"Oct 27, 1973"
Seo Hee Ham,"Mar 08, 1987"
Seokhyeon Ko,"Sep 24, 1993"
Sergei Pavlovich,"May 13, 1992"
Sergey Khandozhko,"May 19, 1992"
Sergey Morozov,"Jun 14, 1989"
Serghei Spivac,"Jan 24, 1995"
Sergio Moraes,"Jul 23, 1982"
Sergio Pettis,"Aug 18, 1993"
Serhiy Sidey,"Jul 04, 1996"
Seth Baczynski,"Oct 26, 1981"
Seth Petruzelli,"Dec 03, 1979"
SeungGuk Choi,"Dec 26, 1996"
SeungWoo Choi,"Nov 03, 1992"
Shamar Bailey,"Sep 22, 1982"
Shamil Abdurakhimov,"Sep 02, 1981"
Shamil Gamzatov,"Aug 09, 1990"
Shamil Gaziev,"Feb 10, 1990"
Shana Dobson,"Mar 30, 1989"
Shane Burgos,"Mar 19, 1991"
Shane Campbell,"Jan 21, 1987"
Shane Carwin,"Jan 04, 1975"
Shane Howell,"Nov 28, 1983"
Shane Nelson,"Nov 29, 1984"
Shane Primm,"Jul 30, 1984"
Shane Roller,"Jul 14, 1979"
Shane Young,"Jul 31, 1993"
Shane del Rosario,"Sep 23, 1983"
Shanelle Dyer,"Apr 23, 2001"
Shanna Young,"Feb 20, 1991"
Shannon Gugerty,"Dec 30, 1981"
Shannon Ross,"May 12, 1989"
Shara Magomedov,"May 16, 1994"
Shauna Bannon,"Oct 23, 1993"
Shavkat Rakhmonov,"Oct 23, 1994"
Shawn Jordan,"Oct 21, 1984"
Shayilan Nuerdanbieke,"May 04, 1994"
Shayna Baszler,"Aug 08, 1980"
Sheila Gaff,"Dec 29, 1989"
Sheldon Westcott,"Aug 20, 1984"
Shem Rock,"Nov 05, 1993"
Sherman Pendergarst,"Aug 01, 1967"
Sheymon Moraes,"Oct 11, 1990"
Shi Ming,"Nov 14, 1994"
Shinsho Anzai,"Dec 01, 1985"
Shonie Carter,"May 03, 1972"
Shunichi Shimizu,"Jan 31, 1985"
Sijara Eubanks,"Apr 27, 1985"
Silvana Gomez Juarez,"Dec 06, 1984"
Simeon Thoresen,"Mar 14, 1984"
Sione Latu,--
Sirwan Kakai,"Oct 03, 1989"
Siyar Bahadurzada,"Apr 17, 1984"
Soa Palelei,"Jul 12, 1977"
Sodiq Yusuff,"May 19, 1993"
Solomon Hutcherson,"Aug 31, 1972"
Song Kenan,"Mar 10, 1990"
Song Yadong,"Dec 02, 1997"
Spencer Fisher,"May 09, 1976"
Spike Carlyle,"May 06, 1993"
Stanislav Nedkov,"Dec 09, 1981"
Stefan Sekulic,"Feb 12, 1992"
Stefan Struve,"Feb 18, 1988"
Stephan Bonnar,"Apr 04, 1977"
Stephanie Egger,"Aug 12, 1988"
Stephanie Luciano,"Dec 16, 1999"
Stephen Bass,"Nov 14, 1982"
Stephen Thompson,"Feb 11, 1983"
Steve Berger,"May 20, 1973"
Steve Bosse,"Jul 29, 1981"
Steve Bruno,"Nov 03, 1981"
Steve Byrnes,"Aug 26, 1979"
Steve Cantwell,"Dec 08, 1986"
Steve Erceg,"Jul 27, 1995"
Steve Garcia,"May 22, 1992"
Steve Jennum,"Sep 23, 1963"
Steve Judson,--
Steve Kennedy,"Mar 07, 1983"
Steve Lopez,"Jul 30, 1984"
Steve Montgomery,"Dec 19, 1990"
Steve Nelmark,--
Steve Steinbeiss,"May 05, 1981"
Steve Vigneault,"Feb 14, 1978"
Steven Asplund,"Jul 16, 1998"
Steven Graham,--
Steven Koslow,"Jan 22, 1997"
Steven Nguyen,"May 19, 1993"
Steven Peterson,"May 29, 1990"
Steven Siler,"Feb 15, 1987"
Stevie Lynch,--
Stevie Ray,"Mar 25, 1990"
Stewart Nicoll,"Apr 11, 1996"
Stipe Miocic,"Aug 19, 1982"
Su Mudaerji,"Jan 20, 1996"
SuYoung You,"Dec 11, 1995"
Sulangrangbo,
Sultan Aliev,"Sep 17, 1984"
Suman Mokhtarian,"Jun 13, 1992"
Sumudaerji,"Jan 20, 1996"
Sung Bin Jo,"Jul 17, 1992"
Syuri Kondo,"Feb 08, 1989"
TJ Brown,"May 22, 1990"
TJ Dillashaw,"Feb 07, 1986"
TJ Grant,"Feb 26, 1984"
TJ Laramie,"Oct 15, 1997"
TJ O'Brien,"Jan 01, 1987"
TJ Waldburger,"Apr 25, 1988"
Tabatha Ricci,"Feb 21, 1995"
Tae Hyun Bang,"Apr 15, 1983"
Tafon Nchukwi,"Oct 14, 1994"
Tagir Ulanbekov,"Aug 07, 1991"
Tai Bowden,--
Tai Tuivasa,"Mar 16, 1993"
Taila Santos,"Jun 22, 1993"
Tainara Lisboa,"Mar 02, 1991"
Taiyilake Nueraji,"Jan 12, 2001"
Takanori Gomi,"Sep 22, 1978"
Takashi Sato,"Jun 09, 1990"
Takenori Sato,"Jun 08, 1985"
Takeya Mizugaki,"Dec 16, 1983"
Talita Alencar,"Oct 17, 1990"
Talita Bernardo,"Mar 04, 1987"
Tallison Teixeira,"Dec 07, 1999"
Tamdan McCrory,"Nov 05, 1986"
Tamires Vidal,"Jul 27, 1998"
Tanner Boser,"Aug 02, 1991"
Tarec Saffiedine,"Sep 06, 1986"
Tateki Matsuda,"Feb 27, 1986"
Tatiana Suarez,"Dec 19, 1990"
Tatsuro Taira,"Jan 27, 2000"
Tatsuya Kawajiri,"May 08, 1978"
Taylor Lapilus,"Apr 08, 1992"
Te Edwards,"Sep 11, 1990"
Tecia Pennington,"Aug 16, 1989"
Tecia Torres,"Jul 31, 1978"
Tedd Williams,"Dec 19, 1969"
Teemu Packalen,"May 22, 1987"
Tereza Bleda,"Nov 30, 2001"
Terrance McKinney,"Sep 15, 1994"
Terrance Saeteurn,"May 30, 1995"
Terrence Mitchell,"Dec 30, 1989"
Terrion Ware,"Mar 31, 1986"
Terry Etim,"Jan 11, 1986"
Terry Martin,"Oct 10, 1980"
Teruto Ishihara,"Jul 23, 1991"
Thaddeus Luster,--
Thales Leites,"Sep 06, 1981"
Themba Gorimbo,"Jan 23, 1991"
Thiago Alves,"Oct 03, 1983"
Thiago Moises,"Mar 23, 1995"
Thiago Perpetuo,"Dec 14, 1987"
Thiago Santos,"Jan 07, 1984"
Thiago Silva,"Nov 12, 1982"
Thiago Tavares,"Nov 08, 1984"
Thibault Gouti,"Feb 27, 1987"
Thomas Almeida,"Jul 31, 1991"
Thomas Gifford,"Jul 26, 1992"
Thomas Petersen,"Mar 30, 1995"
Thomas Ramirez,--
Tiago dos Santos e Silva,"Apr 12, 1987"
Tiki Ghosn,"Feb 09, 1977"
Tim Boetsch,"Jan 28, 1981"
Tim Credeur,"Jul 09, 1977"
Tim Elliott,"Dec 24, 1986"
Tim Gorman,"Apr 29, 1983"
Tim Hague,"May 09, 1983"
Tim Kennedy,"Sep 01, 1979"
Tim Lajcik,"Jun 21, 1965"
Tim McKenzie,"Jul 21, 1982"
Tim Means,"Feb 20, 1984"
Tim Sylvia,"Mar 05, 1976"
Tim Williams,"Jul 03, 1986"
Timmy Cuamba,"Feb 08, 1999"
Timothy Johnson,"Mar 13, 1985"
Timur Valiev,"Jan 19, 1990"
Tina Lahdemaki,"May 28, 1988"
Tito Ortiz,"Jan 23, 1975"
Todd Brown,"Dec 13, 1976"
Todd Butler,--
Todd Duffee,"Dec 06, 1985"
Todd Medina,"Apr 30, 1970"
Tofiq Musayev,"Dec 15, 1989"
Tom Aspinall,"Apr 11, 1993"
Tom Blackledge,--
Tom Breese,"Sep 26, 1991"
Tom DeBlass,"May 14, 1982"
Tom Duquesnoy,"Jun 21, 1993"
Tom Egan,--
Tom Gallicchio,"Sep 23, 1986"
Tom Lawlor,"May 15, 1983"
Tom Murphy,"Nov 19, 1974"
Tom Niinimaki,"Jul 25, 1982"
Tom Nolan,"Mar 08, 2000"
Tom Watson,"Jul 13, 1982"
Tomasz Drwal,"Jan 22, 1982"
Tommy Hayden,"Mar 11, 1986"
Tommy Speer,"Aug 20, 1984"
Tony DeSouza,"Jul 26, 1974"
Tony Ferguson,"Feb 12, 1984"
Tony Fryklund,"Mar 26, 1971"
Tony Gravely,"Sep 28, 1991"
Tony Halme,"Jan 06, 1963"
Tony Kelley,"Jan 21, 1987"
Tony Petarra,"Nov 08, 1966"
Tony Sims,"Oct 14, 1985"
Tonya Evinger,"Jun 04, 1981"
Tor Troeng,"Jan 25, 1983"
Torrez Finney,"Oct 24, 1998"
Toshiomi Kazama,"May 15, 1997"
Townsend Saunders,--
Tra Telligman,"Feb 07, 1965"
Tracy Cortez,"Dec 10, 1993"
Travis Browne,"Jul 17, 1982"
Travis Fulton,"May 29, 1977"
Travis Lutter,"May 12, 1973"
Travis Wiuff,"Mar 15, 1978"
Tre'ston Vines,"Jun 18, 1996"
Tresean Gore,"Jun 21, 1994"
Trevin Giles,"Aug 06, 1992"
Trevin Jones,"Aug 04, 1990"
Trevor Peek,"Jan 09, 1995"
Trevor Prangley,"Aug 24, 1972"
Trevor Smith,"Jan 05, 1981"
Trey Ogden,"Nov 14, 1989"
Trey Waters,"Feb 21, 1995"
Tristan Connelly,"Dec 12, 1985"
Troy Mandaloniz,"Feb 01, 1980"
Tsuyoshi Kohsaka,"Mar 06, 1970"
Tucker Lutz,"Jul 12, 1994"
Tuco Tokkos,"Jun 30, 1990"
Tulio Palhares,--
Ty Miller,"Jun 04, 2000"
Tyler Diamond,"Mar 18, 1991"
Tyler Toner,"Mar 31, 1983"
Tyrell Fortune,"Jul 04, 1990"
Tyron Woodley,"Apr 07, 1982"
Tyrone Roberts,"Jul 14, 1972"
Tyson Griffin,"Apr 20, 1984"
Tyson Nam,"Oct 06, 1983"
Tyson Pedro,"Sep 17, 1991"
Ulysses Gomez,"May 25, 1983"
Umar Nurmagomedov,"Jan 03, 1996"
Uran Satybaldiev,"Aug 10, 1994"
Uriah Hall,"Jul 31, 1984"
Urijah Faber,"May 14, 1979"
Uros Medic,"Apr 25, 1993"
Vagner Rocha,"Jun 06, 1982"
Val Woodburn,"Aug 10, 1993"
Valentina Shevchenko,"Mar 07, 1988"
Valeri Ignatov,--
Valerie Letourneau,"Apr 29, 1983"
Valmir Lazaro,"Aug 15, 1985"
Valter Walker,"Dec 14, 1997"
Vanessa Demopoulos,"Sep 22, 1988"
Vanessa Melo,"Mar 27, 1988"
Vaughan Lee,"Oct 15, 1982"
Vernon Ramos Ho,"Jun 03, 1992"
Vernon White,"Dec 03, 1971"
Veronica Hardy,"Oct 30, 1995"
Veronica Macedo,
Viacheslav Borshchev,"Jan 08, 1992"
Vicente Luque,"Nov 27, 1991"
Victor Altamirano,"Jan 23, 1991"
Victor Henry,"May 04, 1987"
Victor Hugo,"Nov 22, 1992"
Victor Martinez,"Jul 17, 1991"
Victor Rodriguez,"Sep 05, 1992"
Victor Valimaki,"Dec 17, 1981"
Victoria Leonardo,"Feb 16, 1990"
Vik Grujic,"Feb 06, 1977"
Viktor Pesta,"Jul 15, 1990"
Viktoriia Dudakova,"Jan 26, 1999"
Vinc Pichel,"Nov 23, 1982"
Vince Cachero,"Nov 07, 1989"
Vince Morales,"Nov 12, 1990"
Vinicius Moreira,"Feb 28, 1989"
Vinicius Oliveira,"Nov 30, 1995"
Vinicius Queiroz,"Aug 29, 1983"
Vinicius Salvador,"Jul 24, 1996"
Vinny Magalhaes,"Jul 02, 1984"
Virna Jandiroba,"May 30, 1988"
Viscardi Andrade,"Mar 08, 1984"
Vitor Belfort,"Apr 01, 1977"
Vitor Miranda,"Mar 10, 1979"
Vitor Petrino,"Aug 28, 1997"
Viviane Araujo,"Nov 21, 1986"
Viviane Pereira,"Aug 28, 1993"
Vladimir Matyushenko,"Jan 04, 1971"
Volkan Oezdemir,"Sep 19, 1989"
Wade Shipp,"Feb 09, 1975"
Wagner Campos,"Jul 31, 1981"
Wagner Prado,"Dec 30, 1986"
Wagner Silva,"Feb 07, 1987"
Waldo Cortes Acosta,"Oct 03, 1991"
Waldo Cortes-Acosta,
Walel Watson,"Jul 16, 1984"
Wallid Ismail,"Feb 23, 1968"
Walt Harris,"Jun 10, 1983"
Wanderlei Silva,"Jul 03, 1976"
Wang Cong,"May 15, 1992"
Wang Guan,"Mar 14, 1986"
War Machine,"Nov 30, 1981"
Warlley Alves,"Jan 04, 1991"
Waylon Lowe,"Oct 31, 1980"
Wellington Turman,"Jul 22, 1996"
Wendell Oliveira Marques,"Jun 01, 1983"
Wes Albritton,--
Wes Combs,"Jun 18, 1973"
Wes Schultz,"Aug 09, 1996"
Wes Sims,"Aug 04, 1979"
Wesley Correira,"Nov 11, 1978"
Westin Wilson,"Jan 24, 1989"
Will Brooks,"Oct 08, 1986"
Will Campuzano,"May 27, 1986"
Will Chope,"Sep 08, 1990"
Willamy Freire,"Jul 28, 1987"
William Gomis,"Jun 13, 1997"
William Knight,"Apr 03, 1988"
William Macario,"Jul 01, 1991"
Willie Gates,"Jan 21, 1987"
Wilson Gouveia,"Oct 03, 1978"
Wilson Reis,"Jan 06, 1985"
Wu Yanan,"Apr 18, 1996"
Wuliji Buren,"Mar 01, 1989"
Xavier Foupa-Pokam,"Jul 03, 1982"
Xiao Long,"Feb 18, 1978"
Yadier del Valle,"Jul 29, 1996"
Yair Rodriguez,"Oct 06, 1992"
Yan Cabral,"May 13, 1983"
Yan Xiaonan,"Jun 16, 1989"
Yana Kunitskaya,
Yana Santos,"Nov 11, 1989"
Yanal Ashmouz,"Mar 31, 1995"
Yancy Medeiros,"Sep 07, 1987"
Yanis Ghemmouri,"Jan 24, 1995"
Yao Zhikui,"Feb 07, 1991"
Yaotzin Meza,"Feb 04, 1981"
Yaroslav Amosov,"Sep 09, 1993"
Yasuhiro Urushitani,"Sep 08, 1976"
Yazmin Jauregui,"Feb 28, 1999"
Yi Zha,"Sep 17, 1990"
Yizha,
Yoel Romero,"Apr 30, 1977"
Yohan Lainesse,"Aug 14, 1992"
Yoislandy Izquierdo,"Jan 09, 1984"
Yoji Anjo,"Mar 28, 1967"
Yorgan De Castro,"Dec 19, 1986"
Yosdenis Cedeno,"Feb 12, 1985"
Yoshihiro Akiyama,"Jul 29, 1975"
Yoshiki Takahashi,"Mar 13, 1969"
Yoshinori Horie,"May 10, 1995"
Yoshiyuki Yoshida,"May 10, 1974"
Yousri Belgaroui,"Jun 02, 1992"
Youssef Zalal,"Sep 04, 1996"
Yui Chul Nam,"Jul 16, 1981"
Yuki Kondo,"Jul 17, 1975"
Yuki Sasaki,"Sep 12, 1976"
Yuneisy Duben,"Jul 08, 1996"
Yuri Vaulin,"Sep 13, 1963"
Yuri Villefort,"Mar 23, 1991"
Yusaku Kinoshita,"Aug 21, 2000"
Yushin Okami,"Jul 21, 1981"
Yusuke Kasuya,"Nov 16, 1989"
Yuta Sasaki,"Oct 07, 1989"
Yves Edwards,"Sep 30, 1976"
Yves Jabouin,"May 30, 1979"
Zabit Magomedsharipov,"Mar 01, 1991"
Zac Pauga,"Feb 25, 1988"
Zach Light,"Feb 06, 1974"
Zach Makovsky,"Apr 19, 1983"
Zach Reese,"Mar 24, 1994"
Zachary Reese,"Dec 21, 1980"
Zachary Scroggin,"Mar 09, 1996"
Zak Cummings,"Aug 02, 1984"
Zak Ottow,"Dec 22, 1986"
Zane Frazier,--
Zarah Fairn,"Dec 10, 1983"
Zarrukh Adashev,"Jul 29, 1992"
Zelim Imadaev,"Jan 25, 1995"
Zhalgas Zhumagulov,"Aug 29, 1988"
Zhang Lipeng,"Mar 10, 1990"
Zhang Mingyang,"Aug 16, 1998"
Zhang Tiequan,"Jul 25, 1978"
Zhang Weili,"Aug 13, 1989"
Zubaira Tukhugov,"Jan 15, 1991"
Zviad Lazishvili,"Oct 25, 1991"
Zygimantas Ramaska,"Dec 27, 1996"
